State,StateCode,Year,TradeType,Mode,TradeValue
North Carolina,NC,2016,Import,Truck,4001661854
South Dakota,SD,2024,Export,Truck,174754755
Georgia,GA,2022,Export,Rail,209779248
Ohio,OH,2023,Export,Truck,6649834050
Texas,TX,2022,Import,Air,668651691
Ohio,OH,2022,Export,Truck,5791880305
Massachusetts,MA,2017,Export,Truck,2291482971
New Jersey,NJ,2015,Export,Truck,2159680239
Pennsylvania,PA,2017,Export,Truck,3652666793
Pennsylvania,PA,2023,Export,Truck,4682630622
Rhode Island,RI,2015,Export,Truck,169194697
Illinois,IL,2023,Import,Truck,10973822068
New Jersey,NJ,2024,Export,Truck,3052692617
Iowa,IA,2016,Export,Rail,1238651409
Iowa,IA,2019,Export,Truck,747520286
California,CA,2024,Export,Truck,29339260545
Georgia,GA,2016,Export,Rail,536980624
Ohio,OH,2015,Export,Truck,5019338669
Texas,TX,2022,Import,Vessel,16286472220
Alaska,AK,2018,Export,Truck,21475131
Washington,WA,2022,Export,Truck,1113968415
Alabama,AL,2024,Export,Truck,2302259710
Kentucky,KY,2015,Import,Truck,4699414155
Minnesota,MN,2015,Export,Truck,1799538803
Kansas,KS,2018,Export,Truck,855704411
Maryland,MD,2022,Export,Truck,253206130
Arkansas,AR,2018,Import,Truck,850256757
North Carolina,NC,2021,Export,Truck,4086077682
Minnesota,MN,2020,Export,Truck,1554879120
Idaho,"ID",2020,Export,Truck,108071780
California,CA,2023,Export,Truck,28642653640
North Carolina,NC,2022,Export,Truck,4731388717
Texas,TX,2015,Export,Rail,7462557825
Florida,FL,2015,Import,Truck,3000334837
Texas,TX,2019,Export,Truck,75845893942
Illinois,IL,2020,Export,Truck,5667744164
North Carolina,NC,2015,Export,Truck,2785931259
Nebraska,NE,2016,Export,Truck,432993555
Illinois,IL,2020,Export,Rail,1258232393
Iowa,IA,2024,Export,Truck,1128921507
Missouri,MO,2015,Export,Truck,1591313635
New Mexico,NM,2022,Export,Truck,2872500375
New York,NY,2023,Export,Truck,2833614848
South Dakota,SD,2019,Export,Truck,146398393
New York,NY,2022,Export,Truck,2463955607
Louisiana,LA,2024,Export,Truck,735153591
Maryland,MD,2021,Export,Air,99482089
Colorado,CO,2017,Export,Truck,1140856876
Illinois,IL,2022,Export,Rail,2292942833
Alabama,AL,2018,Export,Truck,980408818
Washington,WA,2015,Export,Truck,915174352
Georgia,GA,2023,Import,Air,200258914
Missouri,MO,2024,Export,Truck,2677223126
New York,NY,2020,Export,Truck,1704601627
Pennsylvania,PA,2018,Import,Vessel,666691924
Illinois,IL,2017,Export,Truck,7409958133
Massachusetts,MA,2023,Export,Truck,2528296676
Michigan,MI,2016,Export,Rail,3646651610
Arkansas,AR,2021,Export,Truck,660713049
State Unknown,DU,2021,Import,Vessel,815950358
Delaware,DE,2016,Export,Air,9482618
South Carolina,SC,2022,Export,Vessel,443335538
Arizona,AZ,2024,Export,Truck,6564630215
South Carolina,SC,2019,Export,Rail,124544918
Florida,FL,2019,Import,Air,436181942
North Carolina,NC,2018,Export,Truck,3276237659
Alaska,AK,2023,Export,Truck,40638525
Michigan,MI,2016,Export,Truck,8234215013
Arizona,AZ,2018,Export,Truck,5732608764
Virginia,VA,2019,Export,Other (including unknown),4464764
Virginia,VA,2023,Export,Air,93509038
Indiana,IN,2020,Export,Truck,3144842101
Washington,WA,2020,Export,Rail,54628282
Arkansas,AR,2016,Export,Truck,488064272
California,CA,2022,Export,Rail,511365313
Oklahoma,OK,2023,Export,Truck,482387866
Ohio,OH,2018,Export,Air,324937335
New Hampshire,NH,2021,Export,Truck,358303230
Hawaii,HI,2017,Import,Air,1632523
Rhode Island,RI,2016,Export,Truck,153843824
Utah,UT,2020,Export,Air,207379894
Louisiana,LA,2024,Export,Vessel,5505576460
New Jersey,NJ,2016,Export,Truck,2108051641
Massachusetts,MA,2019,Export,Truck,1669788066
Texas,TX,2019,Export,Rail,9459726892
Texas,TX,2016,Export,Truck,68913760919
Florida,FL,2018,Export,Truck,1752205917
Rhode Island,RI,2017,Export,Truck,167097981
Delaware,DE,2019,Export,Truck,136295658
Ohio,OH,2020,Export,Truck,3789285981
Indiana,IN,2023,Export,Rail,2146105058
Kentucky,KY,2017,Export,Truck,1663695066
Virginia,VA,2019,Export,Truck,847741658
Illinois,IL,2023,Export,Truck,9023031797
Texas,TX,2016,Export,Rail,6438413207
Tennessee,TN,2017,Import,Imports into Foreign Trade Zones,619530253
Virginia,VA,2018,Export,Other (including unknown),3682078
West Virginia,WV,2017,Import,Air,35562900
Illinois,IL,2018,Export,Rail,2356469711
Georgia,GA,2017,Export,Truck,2764282513
Connecticut,CT,2017,Export,Truck,775170849
New Jersey,NJ,2018,Export,Truck,2395333850
New Mexico,NM,2021,Export,Truck,2275590953
Wisconsin,WI,2018,Export,Air,101016527
North Dakota,ND,2023,Import,Truck,166677129
Louisiana,LA,2017,Export,Truck,418788452
Florida,FL,2021,Export,Truck,1764007223
Nebraska,NE,2019,Export,Truck,383218350
Minnesota,MN,2024,Export,Truck,3249119344
Maine,ME,2015,Export,Truck,33966281
Virginia,VA,2017,Export,Other (including unknown),6686783
Texas,TX,2018,Export,Rail,8400517107
Utah,UT,2015,Export,Truck,608097938
Indiana,IN,2024,Export,Truck,4622922544
Georgia,GA,2018,Import,Truck,5301094597
Kansas,KS,2016,Export,Truck,648203477
Arizona,AZ,2015,Export,Truck,5375952659
New York,NY,2018,Export,Truck,2555732265
California,CA,2018,Export,Truck,25872899590
New York,NY,2018,Import,Truck,3032400119
Texas,TX,2017,Export,Rail,6777312374
Utah,UT,2024,Export,Air,56870183
Iowa,IA,2021,Import,Air,18345029
Oklahoma,OK,2023,Import,Truck,1053169279
Washington,WA,2017,Import,Truck,1095494736
Oregon,OR,2021,Export,Truck,391571223
New Hampshire,NH,2024,Export,Truck,587883725
Wisconsin,WI,2016,Export,Rail,277324789
Alabama,AL,2022,Export,Truck,1412458713
New Jersey,NJ,2021,Export,Truck,2672735381
Oregon,OR,2019,Export,Truck,316975843
Illinois,IL,2019,Export,Truck,6678440280
Alabama,AL,2023,Import,Other (including unknown),2993445
Delaware,DE,2023,Export,Truck,298754115
Pennsylvania,PA,2022,Export,Vessel,104685538
Texas,TX,2020,Export,Truck,64339171387
Iowa,IA,2017,Export,Truck,730666056
Wisconsin,WI,2016,Export,Truck,2656444431
Utah,UT,2020,Export,Truck,696625263
New York,NY,2018,Export,Vessel,127986470
Wisconsin,WI,2020,Export,Truck,2296969772
South Carolina,SC,2023,Export,Truck,2256592729
Arizona,AZ,2016,Export,Truck,5230271157
Florida,FL,2024,Export,Truck,2729261432
Texas,TX,2021,Export,Truck,79518920265
West Virginia,WV,2021,Export,Truck,121552952
Hawaii,HI,2024,Export,Truck,1985165
North Dakota,ND,2022,Export,Air,5579527
California,CA,2020,Export,Truck,21419767730
Texas,TX,2017,Export,Truck,69661426012
Kentucky,KY,2016,Export,Truck,1593533605
Florida,FL,2016,Import,Air,916382716
New York,NY,2023,Import,Air,233904153
Missouri,MO,2021,Export,Air,21120813
