Year,Port Original,POE,Region,Mode,Commodity Group,Commodity,Trade Type,Trade Value,Lat,Lon,Shipwt Metric Ton,Shipwt Pound
2014,Laredo,Laredo,Laredo,Rail,16 - 24  Foodstuffs,Preparations of Fish and Meat,Export,37961,27.499561,-99.507412,0,0
2018,Hidalgo,Hidalgo,Pharr,Truck,86 - 89  Transportation,Vehicles Other than Railway,Import,1187569583,26.095032,-98.271092,152371.552,335922044.5
2014,Laredo,Laredo,Laredo,Truck,64 - 67  Footwear / Headgear,Umbrellas and Walking Sticks,Export,1502705,27.499561,-99.507412,0,0
2018,El Paso,El Paso + Ysleta,El Paso,Truck,44 - 49  Wood & Wood Products,Paper and Paperboard,Export,549058697,31.764363,-106.451188,0,0
2024,Brownsville,Brownsville,Pharr,Truck,72 - 83  Metals,Tin and Articles,Import,2708664,25.95155,-97.40067,118.097,260359.5298
2022,El Paso,El Paso + Ysleta,El Paso,Truck,06 - 15  Vegetable Products,Vegetable Plaiting Materials,Import,112066,31.764363,-106.451188,14.311,31550.3799
2019,Presidio,Presidio,El Paso,Truck,72 - 83  Metals,Aluminum and Articles,Import,5697485,29.561827,-104.394907,921.342,2031213.072
2024,El Paso,El Paso + Ysleta,El Paso,Truck,06 - 15  Vegetable Products,Malts; Starches and Inulin,Export,6332588,31.764363,-106.451188,0,0
2023,Laredo,Laredo,Laredo,Air,68 - 71  Stone / Glass,Ceramic Products,Export,12258,27.499561,-99.507412,0.026,57.3202
2014,Rio Grande City,Rio Grande City,Pharr,Other,39 - 40  Plastics / Rubbers,Plastics and Articles,Export,6770,26.365761,-98.802513,0,0
2015,El Paso,El Paso + Ysleta,El Paso,Air,72 - 83  Metals,Iron and Steel,Import,4655,31.764363,-106.451188,0.012,26.4554
2018,Brownsville,Brownsville,Pharr,Truck,86 - 89  Transportation,Locomotives and Traffic Signals,Import,100410,25.95155,-97.40067,85.716,188971.5861
2022,El Paso,El Paso + Ysleta,El Paso,Air,39 - 40  Plastics / Rubbers,Plastics and Articles,Import,500699,31.764363,-106.451188,4.134,9113.9167
2023,Laredo,Laredo,Laredo,Vessel,86 - 89  Transportation,Vehicles Other than Railway,Import,103863,27.499561,-99.507412,16.192,35697.2786
2020,Eagle Pass,Eagle Pass,Laredo,Vessel,98 - 99  Service,Special Classification Provisions,Import,31488,28.705483,-100.511977,0.82,1807.792
2023,Roma,Roma,Pharr,Truck,28 - 38  Chemicals & Allied Industries,Essential Oils and Resinoids,Import,496887,26.403928,-99.018981,155.869,343632.6032
2021,Progreso,Progreso,Pharr,Truck,28 - 38  Chemicals & Allied Industries,Tanning or Dyeing Extracts,Import,169132,26.062133,-97.949958,18.976,41834.9525
2024,Eagle Pass,Eagle Pass,Laredo,Rail,72 - 83  Metals,Aluminum and Articles,Export,1203697,28.705483,-100.511977,0,0
2019,Eagle Pass,Eagle Pass,Laredo,Rail,06 - 15  Vegetable Products,Edible Vegetables and Roots,Import,93974,28.705483,-100.511977,66.226,146003.4567
2024,Brownsville,Brownsville,Pharr,Truck,72 - 83  Metals,Copper and Articles,Import,7217763,25.95155,-97.40067,1118.287,2465402.828
2023,El Paso,El Paso + Ysleta,El Paso,Truck,72 - 83  Metals,Other Base Metals and Cermets,Export,1741356,31.764363,-106.451188,0,0
2017,Del Rio,Del Rio,Laredo,Truck,72 - 83  Metals,Tools of Base Metal,Export,12267977,29.326784,-100.927612,0,0
2013,Del Rio,Del Rio,Laredo,Truck,68 - 71  Stone / Glass,Pearls; Stones; Metals and Imitation Jewelry,Import,924770,29.326784,-100.927612,84.636,186590.5919
