Year,State,Commodity,Mode,Commodity Group,Trade Type,Trade Value,Shipwt Metric Ton,Shipwt Pound
2016,Texas-Mexico Trade,Dairy Products,Rail,01 - 05  Animal & Animal Products,Export,116860670,0,0
2022,Texas-Mexico Trade,Photographic Goods,Truck,28 - 38  Chemicals & Allied Industries,Import,17099356,899.696,1983491.771
2018,Texas-Mexico Trade,Sugars and Sugar Confectionery,Other,16 - 24  Foodstuffs,Export,550917,0,0
2024,Texas-Mexico Trade,Inorganic Chemicals,Truck,28 - 38  Chemicals & Allied Industries,Import,356270064,241249.038,531863520.5
2022,Texas-Mexico Trade,Lac; Gums; Resins and Saps,Truck,06 - 15  Vegetable Products,Import,59552633,13889.166,30620394.54
2016,Texas-Mexico Trade,Electrical Machinery; Equipment and Parts,Other,84 - 85  Machinery / Electrical,Import,606699,7.093,15637.4003
2024,Texas-Mexico Trade,Essential Oils and Resinoids,Air,28 - 38  Chemicals & Allied Industries,Import,832883,6.119,13490.0956
2019,Texas-Mexico Trade,Aluminum and Articles,Air,72 - 83  Metals,Import,186684,1.886,4157.9208
2018,Texas-Mexico Trade,Articles of Iron and Steel,Truck,72 - 83  Metals,Import,3500219607,1364430.115,3008055951
2024,Texas-Mexico Trade,Ceramic Products,Vessel,68 - 71  Stone / Glass,Import,249009,21.461,47313.4446
2020,Texas-Mexico Trade,Rubber and Articles,Truck,39 - 40  Plastics / Rubbers,Import,1936115220,381388.581,840818579.2
2015,Texas-Mexico Trade,Miscellaneous Manufactured Articles,Vessel,90 - 97  Miscellaneous,Export,87143,0.4,881.8497
2019,Texas-Mexico Trade,Lac; Gums; Resins and Saps,Rail,06 - 15  Vegetable Products,Export,18650916,0,0
2020,Texas-Mexico Trade,Knitted or Crocheted Fabrics,Air,50 - 63  Textiles,Export,36192,4.645,10240.4804
2022,Texas-Mexico Trade,Inorganic Chemicals,Air,28 - 38  Chemicals & Allied Industries,Import,129530,7.001,15434.5752
2014,Texas-Mexico Trade,Carpets and Other Textile Floor Coverings,Truck,50 - 63  Textiles,Export,114842570,0,0
2015,Texas-Mexico Trade,Preparations of Fish and Meat,Rail,16 - 24  Foodstuffs,Export,206493,0,0
2016,Texas-Mexico Trade,Furniture; Lamps and Prefabricated Buildings,Air,90 - 97  Miscellaneous,Export,2349504,73.627,162319.8782
2013,Texas-Mexico Trade,Not Knitted or Crocheted Apparel,Vessel,50 - 63  Textiles,Import,10259628,947.85,2089653.256
2019,Texas-Mexico Trade,Organic Chemicals,Vessel,28 - 38  Chemicals & Allied Industries,Export,3620119434,4819866.192,10625994708
2014,Texas-Mexico Trade,Cereals,Rail,06 - 15  Vegetable Products,Import,10478335,20173.001,44473890.63
2022,Texas-Mexico Trade,Umbrellas and Walking Sticks,Truck,64 - 67  Footwear / Headgear,Import,2334096,301.355,664374.5905
2022,Texas-Mexico Trade,Ceramic Products,Air,68 - 71  Stone / Glass,Export,28163158,44.282,97625.1775
2014,Texas-Mexico Trade,Feathers and Down,Truck,64 - 67  Footwear / Headgear,Export,3585611,0,0
2013,Texas-Mexico Trade,Cotton,Air,50 - 63  Textiles,Export,10249,0.652,1437.415
2017,Texas-Mexico Trade,Nickel and Articles,Air,72 - 83  Metals,Export,50236,0.497,1095.698
2022,Texas-Mexico Trade,Iron and Steel,Air,72 - 83  Metals,Export,63913,8.669,19111.8886
2019,Texas-Mexico Trade,Articles of Iron and Steel,Air,72 - 83  Metals,Export,5170694,164.426,362497.5699
2013,Texas-Mexico Trade,Albuminoidal Substances; Glues and Enzymes,Rail,28 - 38  Chemicals & Allied Industries,Import,18112,2.019,4451.1367
2018,Texas-Mexico Trade,Preparations of Fish and Meat,Other,16 - 24  Foodstuffs,Export,407001,0,0
2017,Texas-Mexico Trade,Miscellaneous Manufactured Articles,Air,90 - 97  Miscellaneous,Import,51675,0.348,767.2092
2013,Texas-Mexico Trade,Fish and Crustaceans,Truck,01 - 05  Animal & Animal Products,Import,18704510,2522.92,5562091.04
2023,Texas-Mexico Trade,Photographic Goods,Rail,28 - 38  Chemicals & Allied Industries,Export,54460,0,0
2015,Texas-Mexico Trade,Live Trees and Plants,Air,06 - 15  Vegetable Products,Import,3740,1.006,2217.8521
2014,Texas-Mexico Trade,Tin and Articles,Truck,72 - 83  Metals,Import,10664124,1011.075,2229040.633
2017,Texas-Mexico Trade,Other Base Metals and Cermets,Vessel,72 - 83  Metals,Export,14405,1.085,2392.0174
2014,Texas-Mexico Trade,Vehicles Other than Railway,Air,86 - 89  Transportation,Import,33855296,4052.746,8934782.798
2015,Texas-Mexico Trade,Miscellaneous Articles of Base Metals,Air,72 - 83  Metals,Import,811467,13.427,29601.4907
2013,Texas-Mexico Trade,Clocks; Watches and Parts,Foreign Trade Zones,90 - 97  Miscellaneous,Import,197290,0.317,698.8658
2016,Texas-Mexico Trade,Miscellaneous Edible Preparations,Truck,16 - 24  Foodstuffs,Import,408349106,174790.054,385346421.4
2024,Texas-Mexico Trade,Furniture; Lamps and Prefabricated Buildings,Other,90 - 97  Miscellaneous,Export,1806079,0,0
2024,Texas-Mexico Trade,Organic Chemicals,Truck,28 - 38  Chemicals & Allied Industries,Export,1120525664,0,0
2013,Texas-Mexico Trade,Dairy Products,Rail,01 - 05  Animal & Animal Products,Import,966422,244.346,538691.1585
2024,Texas-Mexico Trade,Stone; Plaster; Cement and Asbestos,Truck,68 - 71  Stone / Glass,Export,354047644,0,0
2017,Texas-Mexico Trade,Wadding; Felt and Nonwovens,Other,50 - 63  Textiles,Export,10636,0,0
2016,Texas-Mexico Trade,Cocoa and Cocoa Preparations,Air,16 - 24  Foodstuffs,Import,3283,0.292,643.7503
2024,Texas-Mexico Trade,Glass,Rail,68 - 71  Stone / Glass,Import,69510205,33478.384,73807262.91
2022,Texas-Mexico Trade,Musical Instruments and Parts,Truck,90 - 97  Miscellaneous,Import,552131,29.048,64039.929
2019,Texas-Mexico Trade,Electrical Machinery; Equipment and Parts,Other,84 - 85  Machinery / Electrical,Export,18702392,0,0
2013,Texas-Mexico Trade,Headgear,Truck,64 - 67  Footwear / Headgear,Export,19593162,0,0
2016,Texas-Mexico Trade,Other Vegetable Fibers and Paper Yarn,Truck,50 - 63  Textiles,Import,248581,1128.019,2486858.233
2017,Texas-Mexico Trade,Cotton,Rail,50 - 63  Textiles,Import,34428,37.208,82029.6653
2014,Texas-Mexico Trade,Sugars and Sugar Confectionery,Vessel,16 - 24  Foodstuffs,Import,21474068,57755.878,127330019
2022,Texas-Mexico Trade,Coffee; Tea and Spices,Air,06 - 15  Vegetable Products,Import,348687,49.499,109126.703
2021,Texas-Mexico Trade,Stone; Plaster; Cement and Asbestos,Truck,68 - 71  Stone / Glass,Export,277188888,0,0
