year,value,TradeType
2013,810549579144,Import
2013,690857998514,Export
2014,729544978424,Export
2014,852215841338,Import
2015,687187487994,Export
2015,797176452426,Import
2016,660380087179,Export
2016,779068922757,Import
2017,700043895492,Export
2017,838794454397,Import
2018,756299532471,Export
2018,912869455538,Import
2019,928925651708,Import
2019,733927772268,Export
2020,823273983230,Import
2020,622397012835,Export
2021,785834476582,Export
2021,1017192684620,Import
2022,1219512400231,Import
2022,924019378478,Export
2023,920738336400,Export
2023,1236592249286,Import
2024,1284432173164,Import
2024,929170667094,Export
