Year,State,Commodity,Mode,Shipwt Metric Ton,Shipwt Pound,TradeValue,TradeType,CommodityGroup
2016,Texas-Mexico Trade,Dairy Products,Rail,0,0,116860670,Export,01 - 05  Animal & Animal Products
2022,Texas-Mexico Trade,Photographic Goods,Truck,899.696,1983491.771,17099356,Import,28 - 38  Chemicals & Allied Industries
2018,Texas-Mexico Trade,Sugars and Sugar Confectionery,Other,0,0,550917,Export,16 - 24  Foodstuffs
2024,Texas-Mexico Trade,Inorganic Chemicals,Truck,241249.038,531863520.5,356270064,Import,28 - 38  Chemicals & Allied Industries
2022,Texas-Mexico Trade,Lac; Gums; Resins and Saps,Truck,13889.166,30620394.54,59552633,Import,06 - 15  Vegetable Products
2016,Texas-Mexico Trade,Electrical Machinery; Equipment and Parts,Other,7.093,15637.4003,606699,Import,84 - 85  Machinery / Electrical
2024,Texas-Mexico Trade,Essential Oils and Resinoids,Air,6.119,13490.0956,832883,Import,28 - 38  Chemicals & Allied Industries
2019,Texas-Mexico Trade,Aluminum and Articles,Air,1.886,4157.9208,186684,Import,72 - 83  Metals
2018,Texas-Mexico Trade,Articles of Iron and Steel,Truck,1364430.115,3008055951,3500219607,Import,72 - 83  Metals
2024,Texas-Mexico Trade,Ceramic Products,Vessel,21.461,47313.4446,249009,Import,68 - 71  Stone / Glass
2020,Texas-Mexico Trade,Rubber and Articles,Truck,381388.581,840818579.2,1936115220,Import,39 - 40  Plastics / Rubbers
2015,Texas-Mexico Trade,Miscellaneous Manufactured Articles,Vessel,0.4,881.8497,87143,Export,90 - 97  Miscellaneous
2019,Texas-Mexico Trade,Lac; Gums; Resins and Saps,Rail,0,0,18650916,Export,06 - 15  Vegetable Products
2020,Texas-Mexico Trade,Knitted or Crocheted Fabrics,Air,4.645,10240.4804,36192,Export,50 - 63  Textiles
2022,Texas-Mexico Trade,Inorganic Chemicals,Air,7.001,15434.5752,129530,Import,28 - 38  Chemicals & Allied Industries
2014,Texas-Mexico Trade,Carpets and Other Textile Floor Coverings,Truck,0,0,114842570,Export,50 - 63  Textiles
2015,Texas-Mexico Trade,Preparations of Fish and Meat,Rail,0,0,206493,Export,16 - 24  Foodstuffs
2016,Texas-Mexico Trade,Furniture; Lamps and Prefabricated Buildings,Air,73.627,162319.8782,2349504,Export,90 - 97  Miscellaneous
2013,Texas-Mexico Trade,Not Knitted or Crocheted Apparel,Vessel,947.85,2089653.256,10259628,Import,50 - 63  Textiles
2019,Texas-Mexico Trade,Organic Chemicals,Vessel,4819866.192,10625994708,3620119434,Export,28 - 38  Chemicals & Allied Industries
2014,Texas-Mexico Trade,Cereals,Rail,20173.001,44473890.63,10478335,Import,06 - 15  Vegetable Products
2022,Texas-Mexico Trade,Umbrellas and Walking Sticks,Truck,301.355,664374.5905,2334096,Import,64 - 67  Footwear / Headgear
2022,Texas-Mexico Trade,Ceramic Products,Air,44.282,97625.1775,28163158,Export,68 - 71  Stone / Glass
